Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,Total IDA and IBRD Commitment $US,Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2,
P163896,East Asia and Pacific,Republic of Indonesia,Active,National Urban Development Project (NUDP),To increase the number of participating cities carrying out integrated planning and prioritizing their capital investments.,"Ministry of National Development Planning (BAPPENAS), Ministry of Public Works and Housing (MPWH), Ministry of Home Affairs (MOHA)",No,https://projects.worldbank.org/en/projects-operations/project-detail/P163896,"June 11, 2019","December 31, 2024",,IBRD,49600000,,,49600000,,Republic of Indonesia,Investment Project Financing,B,,Sub-National Government,,,,,
P168290,East Asia and Pacific,Socialist Republic of Vietnam,Active,Vietnam - Dynamic Cities Integrated Development Project,To increase access to urban infrastructure and to improve integrated urban planning in the Project Cities.,"Ky Anh Project Management Unit, Hai Duong City Project Management Unit, Yen Bai Project Management Unit, Thanh Hoa Project Management Unit",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168290,"June 11, 2019","June 30, 2025",,Other,276170000,,,276170000,,Socialist Republic of Vietnam,Investment Project Financing,B,,Sanitation,Urban Transport,Sub-National Government,,,
P167598,Europe and Central Asia,Kyrgyz Republic,Active,Primary Health Care Quality Improvement Program,The Program Development Objective is to contribute to improving the quality of primary health care services in the Kyrgyz Republic.,"Ministry of Health, Mandatory Health Insurance Fund",No,https://projects.worldbank.org/en/projects-operations/project-detail/P167598,"June 7, 2019","December 31, 2024",,Grants,0,,,0,"17,000,000",Ministry of Finance,Program-for-Results Financing,,,Health,ICT Services,Public Administration - Health,,,
P160182,Eastern and Southern Africa,Democratic Republic of the Congo,Active,Improved Forested Landscape Management Project (GEF AF),"The project development objective is to test new approaches to improve community livelihoods and forested landscape management, andto reduce greenhouse gas emissions from deforestation and forest degradation in selected areas in the Recipient's territory.",Ministry of Environment and Sustainable Development,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P160182,"June 7, 2019","May 31, 2024",,Other,0,,,0,"6,210,000",Ministry of Finance,Investment Project Financing,,,Forestry,"Public Administration - Agriculture, Fishing & Forestry",,,,
P162833,Latin America and Caribbean,Republic of Peru,Active,Improving the Performance of Non-Criminal Justice Services,"The Project’s development objective is to improve efficiency, access, transparency, and user satisfaction, in the delivery of adequa te non-criminal justice services.","Ministry of Justice and Human Rights, Judiciary of Peru",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P162833,"June 5, 2019","September 30, 2024",,Other,0,,,0,,Republic of Peru,Investment Project Financing,B,,Law and Justice,,,,,
P168956,Eastern and Southern Africa,Republic of Angola,Active,Child Health Expansion Angola,The Project Development Objective (PDO) is to increase the utilization and the quality of health care services in target provinces a nd municipalities.,Ministry of Health,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168956,"May 31, 2019",,,Grants,9700000,,,9700000,"9,700,000",Republic of Angola,Investment Project Financing,,,Health,,,,,
P161386,South Asia,Islamic Republic of Pakistan,Active,Higher Education Development in Pakistan,"To support research excellence in strategic sectors of the economy, improve teaching and learning and strengthen governance, in the higher education sector.",Higher Education Commission,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P161386,"May 31, 2019","June 30, 2024",,Other,0,,,0,,Islamic Republic of Pakistan,Investment Project Financing,B,,ICT Services,Tertiary Education,ICT Infrastructure,,,
P166943,Western and Central Africa,Central African Republic,Active,"CAR: LONDO ""Stand Up"" Project","To provide temporary employment to vulnerable people and to facilitate access to basic services throughout the entire territory of t he Recepient, and to provide a response in the case of an eligible crisis or emergency.",Agence d'Execution des Travaux d'Interet Public en Centrafrique (AGETIP-CAF),TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P166943,"May 30, 2019",,,IDA,0,,,0,,"Ministry of Economy, Planning, and Cooperation",Investment Project Financing,,,Social Protection,Public Administration - Social Protection,,,,
P165228,Eastern and Southern Africa,Kingdom of Lesotho,Active,Smallholder Agriculture Development Project - II,"The development objective of the project is to support increased adoption of climate smart agricultural technologies in Lesotho's ag riculture, enhanced commercialization and improved dietary diversity among targeted beneficiaries.",Ministry of Agriculture and Food Security (MAFS),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P165228,"May 30, 2019","May 31, 2026",,Grants,0,,,0,"2,000,000",Ministry of Finance,Investment Project Financing,B,,ICT Services,"Agricultural markets, commercialization and agri-business",Irrigation and Drainage,,,
P169252,Western and Central Africa,Burkina Faso,Active,Scale-Up and Responding to the needs of Refugees and Host Communities,The PDO is to increase access of poor and vulnerable households to safety nets and to lay the foundations for an adaptive safety net  system in Burkina Faso.,"Ministry of Women, National Solidarity and Family, Ministry of Women, National Solidarity, the Family and Humanitarian Action",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169252,"May 29, 2019",,,IDA,0,,,0,,Burkina Faso,Investment Project Financing,,,Social Protection,Public Administration - Social Protection,,,,
P168119,Europe and Central Asia,Romania,Active,Improving Resilience and Emergency Response Project,The proposed Project Development Objective (PDO) is to enhance the resilience of Romanian Police Facilities that are critical to res pond to Emergency Situations and disasters and to strengthen the institutional capacities for emergency preparedness and response.,Ministry of Internal Affairs (General Inspectorate of Romanian Police),No,https://projects.worldbank.org/en/projects-operations/project-detail/P168119,"May 29, 2019","December 31, 2025",,IBRD,0,,,0,,Romania (through its Ministry of Public Finance),Investment Project Financing,B,,Other Public Administration,Water Supply,Other Energy and Extractives,,,
P168120,Europe and Central Asia,Romania,Active,Strengthening Preparedness and Critical Emergency Infrastructure Project,The objective of the Project is to enhance the resilience of Romanian Gendarmerie Facilities that are critical to respond to Emergen cy Situations and disasters and to strengthen the institutional capacities for emergency preparedness and response.,Ministry of Internal Affairs (General Inspectorate of the Romanian Gendarmerie),No,https://projects.worldbank.org/en/projects-operations/project-detail/P168120,"May 29, 2019","December 31, 2025",,IBRD,0,,,0,,Romania (through its Ministry of Public Finance),Investment Project Financing,B,,Other Public Administration,,,,,
P164330,Western and Central Africa,Republic of Ghana,Active,Greater Accra Resilient and Integrated Development Project,The objective of the project is to improve flood risk management and solid waste management in the Odaw River Basin of the Greater A ccra Region and improve access to basic infrastructure and services in the targeted communities within the Odaw River Basin.,"Ministry of Local Government and Rural Development, Ministry of Health, Ministry of Works and Housing, Ministry of Sanitation and Water Resources",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164330,"May 29, 2019","December 31, 2025",,IDA,0,,,0,,Government of Ghana,Investment Project Financing,A,,Sub-National Government,"Other Water Supply, Sanitation and Waste Management",Other Public Administration,,,
P162623,East Asia and Pacific,People's Republic of China,Active,Shaanxi Sustainable Towns Development Project,"To foster regional collaboration, reduce flood risk, and improve urban services in selected towns in the southern part of Shaanxi.","Foreign Debt Management Office, Shaanxi Provincial Development and Reform Commission",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P162623,"May 28, 2019","December 31, 2025",,Other,238600000,,,238600000,"50,000,000",People's Republic of China,Investment Project Financing,B,,Sub-National Government,,,,,
P166941,Europe and Central Asia,Ukraine,Active,Accelerating Private Investment in Agriculture Program,"The Program Development Objective is to alleviate select constraints to increased participation of the private sector, in particular  small and medium-sized enterprises (SMEs), in agricultural input and output markets of Ukraine.",Ministry of Agrarian Policy and Food of Ukraine,No,https://projects.worldbank.org/en/projects-operations/project-detail/P166941,"May 24, 2019","June 30, 2025",,Other,0,,,0,,Ukraine,Program-for-Results Financing,,,"Other Agriculture, Fishing and Forestry","Agricultural markets, commercialization and agri-business",,,,
P167260,Western and Central Africa,Republic of The Gambia,Active,The Gambia Social Safety Net Project,"To improve the coordination of social assistance activities, provide temporary social assistance support to rural households in the wake of COVID-19, and increase inclusion of the extreme poor in the Nafa program.",National Nutrition Agency,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P167260,"May 24, 2019","March 29, 2024",,Other,0,,,0,,The Republic of The Gambia,Investment Project Financing,C,,Social Protection,Public Administration - Social Protection,,,,
P170552,Europe and Central Asia,Georgia,Active,Energy Supply Reliability and Financial Recovery Guarantee,"The objectives of the Project are to increase electricity supply reliability in the western part of Georgia, achieve the financial v iability of GSE, and help it access long-term commercial financing.",,No,https://projects.worldbank.org/en/projects-operations/project-detail/P170552,"May 23, 2019","December 31, 2024",,IBRD,160000000,,,160000000,,,Investment Project Financing,,,Energy Transmission and Distribution,Public Administration - Energy and Extractives,,,,
P168544,Middle East and North Africa,West Bank and Gaza,Active,Additional Financing for the Third Municipal Development Project,The project development objective (PDO) is to enhance the institutional capacity of municipalities in the West Bank and Gaza for mor e accountable and sustainable service delivery.,Municipal Development Lending Fund (MDLF),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168544,"May 23, 2019",,,Grants,0,,,0,"15,000,000",Palestine Liberation Organization (For The Benefit of the  Palestinian Authority),Investment Project Financing,,,Sub-National Government,,,,,
P164336,Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Active,Lowlands Livelihood Resilience Project,To Improve Livelihood Resilience of Pastoral and Agro-Pastoral Communities in Ethiopia,Ministry of Irrigation and Lowlands Development,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164336,"May 23, 2019","October 10, 2025",,Other,326000000,,,326000000,"90,000,000",Federal Democratic Republic of Ethiopia (FDRE),Investment Project Financing,B,,"Agricultural Extension, Research, and Other Support Activities",Livestock,"Agricultural markets, commercialization and agri-business",,,
P164584,Eastern and Southern Africa,Union of the Comoros,Active,Integrated Development and Competitiveness Project,"To promote the development of Micro, Small and Medium Enterprises (MSMEs) and relevant value chain actors in the agriculture, touris m and associated sectors in Comoros","Ministry of Agriculture, Environment, Fisheries (MEAPE)",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P164584,"May 20, 2019","July 31, 2024",,IDA,0,,,0,,Ministry of Finance and Budget,Investment Project Financing,B,,"Other Industry, Trade and Services","Agricultural markets, commercialization and agri-business",Tourism,,,
P165855,Western and Central Africa,Central African Republic,Active,CAR-Agriculture Recovery and Agribusiness Development Support Project (ARADSP),"Increase agriculture productivity of small scale farmers, strengthen capacity of micro, small and medium agribusiness enterprises in  the project area, and provide immediate and effective response in the event of an Eligible Crisis or Emergency",Ministry of Agriculture and Rural Development,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P165855,"May 17, 2019","May 30, 2024",,IDA,0,,,0,,"Ministre de l’Economie, du Plan et de la Coopération",Investment Project Financing,B,,Livestock,Fisheries,"Agricultural markets, commercialization and agri-business",,,
P166390,Western and Central Africa,Republic of Sierra Leone,Active,Sierra Leone Energy Sector Utility Reform Project Additional Financing,The Project Development Objective is to improve the operational performance of the national electricity distribution utility.,"Ministry of Energy, Electricity Distribution and Supply Authority (EDSA)",No,https://projects.worldbank.org/en/projects-operations/project-detail/P166390,"May 17, 2019",,,Other,0,,,0,,Government of Sierra Leone,Investment Project Financing,,,Energy Transmission and Distribution,Public Administration - Energy and Extractives,,,,
P160672,Eastern and Southern Africa,Kingdom of Lesotho,Active,Lesotho Lowlands Water Development Project - Phase II,The Proposed Development Objectives are to: (a) increase water availability and access to improved water supply services in two prio rity zones; and (b) improve technical and financial performance of WASCO.,Lowlands Unit,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P160672,"May 17, 2019","March 31, 2025",,Other,0,,,0,,Ministry of Water Affairs - Commission of Water,Investment Project Financing,A,,Water Supply,"Public Administration - Water, Sanitation and Waste Management",Irrigation and Drainage,,,
P163645,Western and Central Africa,Islamic Republic of Mauritania,Closed,Nouadhibou Eco-Seafood Cluster Project AF,<p>The objective of the proposed project is to support the development of a seafood cluster in Nouadhibou that promotes sustainable management of fisheries and generates value for the communities.</p>,"Nouadhibou Free Zone Authority, NESC - Project Coordination Unit",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P163645,"May 17, 2019",,,Other,0,,,0,,Ministry of Economy and Finance,Investment Project Financing,,,"Agricultural markets, commercialization and agri-business","Public Administration - Agriculture, Fishing & Forestry",Fisheries,,,
P165872,East Asia and Pacific,Solomon Islands,Active,Urban Water Supply and Sanitation Sector Project,"To increase access and quality of water supply and quality of sanitation services in selected service areas of Solomon Water, and to  improve the operational performance of Solomon Water.",Solomon Islands Water Authority,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P165872,"May 16, 2019","June 30, 2027",,Other,0,,,0,"58,330,000",Solomon Islands through the Ministry of Finance and Treasury,Investment Project Financing,B,,Water Supply,Sanitation,,,,
P167512,Latin America and Caribbean,Republic of Haiti,Active,Strengthening Primary Health Care and Surveillance in Haiti,"The PDO of the proposed Project is to: (i) increase utilization of primary health care services in selected geographical areas; (ii)  strengthen surveillance capacity especially for cholera, and (iii) provide an immediate and effective response to an eligible crisi s or emergency.","Project Management Unit, Ministry of Public Health and Population",No,https://projects.worldbank.org/en/projects-operations/project-detail/P167512,"May 16, 2019","December 31, 2024",,Grants,0,,,0,"15,000,000",Republic of Haiti,Investment Project Financing,B,,Health,Public Administration - Health,Health Facilities and Construction,,,
P165870,Latin America and Caribbean,Republic of Haiti,Active,Strengthening DRM and Climate Resilience Project,The Project Development Objective is to improve: (i) early warning and emergency evacuation capacity in selected municipalities in h igh climate risk-prone areas; (ii) the provision of and accessibility to safe havens; and (iii) the GoH’s capacity to respond to an eligible emergency.,Ministry of Interior and Local authorities,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P165870,"May 16, 2019","April 30, 2025",,IDA,0,,,0,,Ministry of Economy and Finance,Investment Project Financing,B,,Other Public Administration,,,,,
P169514,Eastern and Southern Africa,Republic of Rwanda,Closed,Rwanda - Additional Financing for the Transformation of Agriculture Sector Program 4 PforR Phase 2,To promote the commercialization of agriculture value chains in Rwanda.,Ministry of Agriculture and Animal Resources (MINAGRI),No,https://projects.worldbank.org/en/projects-operations/project-detail/P169514,"May 15, 2019",,,Grants,171000000,,,171000000,"71,000,000",Republic of Rwanda,Program-for-Results Financing,,,"Agricultural markets, commercialization and agri-business","Public Administration - Agriculture, Fishing & Forestry","Agricultural Extension, Research, and Other Support Activities",,,
P166220,Middle East and North Africa,Republic of Djibouti,Active,Integrated Cash Transfer and Human Capital Project,"The Project Development Objectives are to support: i) an expanded and enhanced social safety nets system; ii) access to basic servic es in targeted poor communities, and iii) a rapid targeted food security safety net response to the COVID-19 pandemic.

Note: for th e purpose of the PDO statement, ""enhanced"" is taken to mean (i) improved targeting of program beneficiaries, (ii) an enlarged social  registry, and (iii) effective accompanying measures in conjunction with conditional cash transfers.",Ministry of Social Affairs and Solidarity,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P166220,"May 15, 2019","December 31, 2023",,IDA,0,,,0,,Republic of Djibouti,Investment Project Financing,B,,Social Protection,Public Administration - Social Protection,,,,
P167195,Middle East and North Africa,Republic of Yemen,Closed,Yemen Emergency Health and Nutrition Project Third Additional Financing,"To contribute to the provision of basic health, essential nutrition, water and sanitation services for the benefit of the population  of the Republic of Yemen.","World Health Organization, United Nations Children's Fund",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P167195,"May 14, 2019",,,IDA,0,,,0,,"World Health Organization, United Nations Children's Fund",Investment Project Financing,,,"Public Administration - Water, Sanitation and Waste Management",Health,Sanitation,,,
P170241,Middle East and North Africa,Republic of Yemen,Closed,Emergency Crisis Response Project Fourth Additional Financing,The Project Development Objective is to provide short-term employment and access to selected basic services to the most vulnerable; preserve existing implementation capacity of service delivery programs; and provide emergency cash transfers to the poor and vulnera ble in response to the food crisis.,"UNDP, UNICEF",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P170241,"May 14, 2019",,,IDA,0,,,0,,"UNDP, United Nations Children's Fund (UNICEF)",Investment Project Financing,,,Social Protection,"Other Industry, Trade and Services",Public Administration - Social Protection,,,
P151169,Middle East and North Africa,Kingdom of Morocco,Active,Supporting the economic inclusion of youth,The project development objective is to increase access to economic opportunities for youth in the project area.,Ministry of Labor and Professional Insertion,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P151169,"May 10, 2019","September 30, 2024",,Other,65000000,,,65000000,,Ministry of Finance,Investment Project Financing,B,,Sub-National Government,Central Government (Central Agencies),Workforce Development and Vocational Education,,,
P163922,East Asia and Pacific,Federated States of Micronesia,Active,Federated States of Micronesia Maritime Investment Project,"To improve the safety, efficiency and climate resilience of maritime infrastructure and operations in the Recipient's territory, and  in the event of an Eligible Crisis or Emergency, to provide an immediate response to the Eligible Crisis or Emergency.","Department of Environment, Climate Change and Emergency Management, Department of Transportation, Communication & Infrastructure, Department of Justice",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P163922,"May 9, 2019","August 1, 2024",,IDA,0,,,0,,Department of Finance and Administration,Investment Project Financing,B,,Ports/Waterways,Public Administration - Transportation,,,,
P161382,East Asia and Pacific,Republic of the Marshall Islands,Active,Marshall Islands Maritime Investment Project,"To improve the safety, efficiency and climate resilience of maritime infrastructure and operations in the Recipient's territory, and  in the event of an Eligible Crisis or Emergency, to provide an immediate response to the Eligible Crisis or Emergency.","Republic of Marshall Islands Port Authority, Ministry of Justice",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P161382,"May 9, 2019","August 1, 2024",,IDA,0,,,0,,Ministry of Finance,Investment Project Financing,B,,Ports/Waterways,Public Administration - Transportation,,,,
P169279,East Asia and Pacific,Samoa,Closed,Samoa Aviation Investment Project Additional Finance II,The project development objective is to improve operational safety and oversight of international air transport and associated infrastructure.,Samoa Airport Authority,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169279,"May 9, 2019",,,Other,0,,,0,,"Ministry of Finance, Independent State of Samoa",Investment Project Financing,,,Aviation,Public Administration - Transportation,,,,
P169158,Europe and Central Asia,Republic of Armenia,Closed,LIFELINE ROAD NETWORK IMPROVEMENT PROJECT - Second Additional Financing,"The Project Development Objective is to improve access of rural communities to markets and services through upgrading of selected li feline roads, and to strengthen the capacity of the Borrower's line ministry in charge of roads to manage the lifeline road network.","Ministry of Transport, Communications and Information Technologies",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169158,"May 8, 2019",,,Other,0,,,0,,Republic of Armenia,Investment Project Financing,,,Rural and Inter-Urban Roads,Public Administration - Transportation,,,,
P162299,East Asia and Pacific,People's Republic of China,Active,China Distributed Renewable Energy Scale-Up Project,Promote the scale-up of distributed renewable energy and GHG emission reduction in China through policy interventions and pilots,National Energy Administration (NEA),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P162299,"May 3, 2019","June 30, 2023",,Other,0,,,0,"7,280,000",People's Republic of China,Investment Project Financing,B,,Renewable Energy Solar,Energy Transmission and Distribution,ICT Infrastructure,,,
P168250,Middle East and North Africa,Republic of Djibouti,Closed,Improving Health Sector Performance Project Second Additional Financing,The project development objective is to improve the utilization of quality maternal and child health services.,Ministry of Health,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168250,"May 3, 2019",,,IDA,0,,,0,,Republic of Djibouti,Investment Project Financing,,,Health,Public Administration - Health,,,,
P163745,Western and Central Africa,Republic of Ghana,Active,Additional Financing for Ghana Forest Investment Program (FIP) - Enhancing Natural Forest and Agroforest Landscapes Project,"To improve forest and tree management practices by cocoa farmers, CREMA communities and forest reserve managers to reduce forest los s and degradation and demonstrate rehabilitation of mined-out sites in selected landscapes in Ghana's High Forest Zone (HFZ).",Ministry of Lands and Natural Resources,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P163745,"May 3, 2019",,,Grants,0,,,0,"19,390,000","Government of Ghana, Republic of Ghana",Investment Project Financing,,,Forestry,"Public Administration - Agriculture, Fishing & Forestry",Mining,,,
P162454,Middle East and North Africa,Republic of Iraq,Active,IQ: Basra Electricity Dissemination and Development Project (EDDP),To improve the reliability and operational and commercial efficiency of electricity services in the selected project areas.,"South Electricity Distribution Company, South Electricity Transmission Company",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P162454,"May 2, 2019","June 30, 2024",,IBRD,0,,,0,,Republic of Iraq,Investment Project Financing,B,,Energy Transmission and Distribution,Public Administration - Energy and Extractives,,,,
P152057,Latin America and Caribbean,Republic of Honduras,Active,Social Protection Integration,"The objectives of the Project are to improve the outcomes of the CCT Program, including the CCT Program response to  COVID-19, and t o strengthen the integration of the social protection system for the extreme poor and the vulnerable.","Secretariat of Development and Social Inclusion / Red Solidaria, Programa Red Solidaria",No,https://projects.worldbank.org/en/projects-operations/project-detail/P152057,"April 30, 2019","June 30, 2024",,IDA,30000000,,,30000000,,Republic of Honduras,Investment Project Financing,B,,Workforce Development and Vocational Education,"Adult, Basic and Continuing Education",Social Protection,,,
P164786,Western and Central Africa,Burkina Faso,Active,Financial Inclusion Support Project in Burkina Faso,The Project Development Objective is to increase access to digital financial services and facilitate access to credit for targeted b eneficiaries.,Directorate of Treasury and Public Accounting,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164786,"April 30, 2019","April 30, 2025",,IDA,0,,,0,,"Ministry of Economy, Finance and Development",Investment Project Financing,B,,Public Administration - Financial Sector,Central Government (Central Agencies),Banking Institutions,,,
P164130,Eastern and Southern Africa,Republic of Rwanda,Active,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,"To improve access to basic services and economic opportunities for refugees and host communities, and support environmental manageme nt, in the target areas in Rwanda","Ministry in Charge of Emergency Management, Development Bank of Rwanda, Rwanda Transport Development Agency (RTDA)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164130,"April 30, 2019","October 30, 2026",,IDA,0,,,0,,Ministry of Finance and Economic Planning,Investment Project Financing,B,,Health,Health Facilities and Construction,Public Administration - Social Protection,,,
P164762,South Asia,Islamic  Republic of Afghanistan,Active,Afghanistan Land Administration System Project,"The Project Development Objective is (a) to support the development of the Afghanistan land administration system; and (b) to provid e the population in selected areas with improved land registration services, including issuance of Titles and Occupancy Certificates .",Ministry of Urban Development and Land,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164762,"April 25, 2019","September 30, 2024",,Grants,0,,,0,"10,000,000",Ministry of Finance,Investment Project Financing,B,,"Public Administration - Agriculture, Fishing & Forestry",ICT Infrastructure,,,,
P163673,Europe and Central Asia,Republic of Serbia,Active,Tax Administration Modernization Project,To improve effectiveness of tax collection and lower the compliance burden for taxpayers.,Serbian Tax Administration,No,https://projects.worldbank.org/en/projects-operations/project-detail/P163673,"April 24, 2019","October 31, 2024",,IBRD,0,,,0,,Republic of Serbia,Investment Project Financing,B,,Central Government (Central Agencies),ICT Services,,,,
P164824,Europe and Central Asia,Republic of Serbia,Active,Enabling Digital Governance Project,"To improve access, quality, and efficiency of selected administrative e-Government services.",Office for Information Technologies and Electronic Goverment,No,https://projects.worldbank.org/en/projects-operations/project-detail/P164824,"April 24, 2019","June 30, 2024",,Other,55000000,,,55000000,"240,000",Ministry of Finance,Investment Project Financing,B,,Central Government (Central Agencies),ICT Services,Public Administration - Information and Communications Technologies,,,
P166719,Europe and Central Asia,Republic of Belarus,Active,Belarus Education Modernization Project - Additional Financing,The objectives of the proposed Project are to: (i) improve access to a quality learning environment in selected general secondary ed ucation institutions; and (ii) strengthen the Belarus' student assessment and education management information systems.,Ministry of Education,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P166719,"April 18, 2019",,,IBRD,0,,,0,,Republic of Belarus,Investment Project Financing,,,Secondary Education,Public Administration - Education,,,,
P169125,Latin America and Caribbean,Republic of El Salvador,Active,El Salvador Local Economic Resilience Project,The Project Development Objective is to improve institutional performance of municipalities and increase access for citizens to serv ices and resilient infrastructure.,"Dirección de Obras Municipales, Ministerio de Obras Publicas y Transporte, Fondo de Inversion Social para el Desarrollo Local de El Salvador - Ministerio de Desarrollo Local",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169125,"April 17, 2019","December 31, 2024",,IBRD,0,,,0,,Ministry of Finance,Investment Project Financing,B,,Sub-National Government,Tourism,Rural and Inter-Urban Roads,,,
P164941,East Asia and Pacific,Kingdom of Tonga,Active,Tonga: Pathway to Sustainable Oceans,To improve management of selected fisheries and aquaculture in the Recipient's territory.,"Ministry of Agriculture, Fisheries, Forestry and Food",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164941,"April 17, 2019","April 30, 2025",,IDA,0,,,0,,Kingdom of Tonga,Investment Project Financing,B,,Fisheries,"Public Administration - Agriculture, Fishing & Forestry","Agricultural markets, commercialization and agri-business",,,
P166983,East Asia and Pacific,People's Republic of China,Closed,China Partnership for Market Readiness,The Project Development Objective is to enable China to design a national carbon emissions trading scheme.,National Center for Climate Change Strategy and International Cooperation (NCSC),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P166983,"April 10, 2019",,,Grants,2000000,,,2000000,"2,000,000",People's Republic of China,Investment Project Financing,,,Other Public Administration,,,,,
P164302,Western and Central Africa,Republic of Cote d'Ivoire,Active,Enhancing Government Effectiveness for Improved Public Services,"Strengthen public resource mobilization and management for improved service delivery in the social, transport and financial sectors",Ministry of Economy and Finance,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P164302,"April 5, 2019","December 31, 2025",,IDA,0,,,0,,Republic of Côte D'Ivoire,Program-for-Results Financing,,,Public Administration - Information and Communications Technologies,Central Government (Central Agencies),Rural and Inter-Urban Roads,,,
P168549,Latin America and Caribbean,Sint Maarten,Active,Sint Maarten Enterprise Support Project,"The development objective is to support the recovery of micro, small, and medium sized enterprises through direct financial assistan ce to contribute to the restoration of economic activity.",National Recovery Program Bureau,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168549,"April 4, 2019","June 30, 2025",,Grants,35000000,,,35000000,"35,000,000",National Recovery Program Bureau,Investment Project Financing,F,,"Other Industry, Trade and Services","Public Administration - Industry, Trade and Services",,,,
P167523,South Asia,Republic of India,Active,Program Towards Elimination of Tuberculosis,To improve the coverage and quality of TB control interventions in the private and public sector in targeted states of India,Ministry of Health and Family Welfare,No,https://projects.worldbank.org/en/projects-operations/project-detail/P167523,"March 29, 2019","June 30, 2024",,Other,0,,,0,,Republic of India,Program-for-Results Financing,,,ICT Services,Health,Public Administration - Health,,,
P165477,South Asia,People's Republic of Bangladesh,Active,Dhaka City Neighborhood Upgrading Project,To enhance public spaces and improve urban services in selected neighborhoods in Dhaka.,Dhaka South City Corporation,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P165477,"March 29, 2019","June 30, 2024",,Other,0,,,0,,People’s Republic of Bangladesh,Investment Project Financing,B,,Sub-National Government,,,,,
P166730,Latin America and Caribbean,Co-operative Republic of Guyana,Active,Guyana Petroleum Resources Governance and Management Project,The project development objective is to support the enhancement of legal and institutional frameworks and the strengthening of the c apacity of key institutions to manage the oil and gas sector in Guyana.,Ministry of Natural Resources,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P166730,"March 29, 2019","March 30, 2024",,IDA,0,,,0,,Co-operative Republic of Guyana,Investment Project Financing,B,,Oil and Gas,Public Administration - Energy and Extractives,ICT Services,,,
P167959,Western and Central Africa,Republic of Cote d'Ivoire,Active,Strategic Purchasing and Alignment of Resources & Knowledge in Health Project (SPARK-Health),"To improve the utilization and quality of health services towards reducing maternal and infant mortality, and to provide immediate a nd effective response to an eligible crisis or emergency, in the Recipient's territory.",Ministere de la Sante et de l'Hygiene Publique (MSHP),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P167959,"March 22, 2019","June 30, 2025",,Grants,0,,,0,"20,000,000",THE REPUBLIC OF CÔTE D'IVOIRE,Investment Project Financing,B,,Health,Health Facilities and Construction,Public Administration - Health,,,
